"COU","Country","POL","Pollutant","VAR","Variable","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"OECD","OECD - Total","GHG","Greenhouse gases","GHG_CAP_LULU","Total GHG incl. LULUCF per capita","1993","1993","KG_HAB","Kilograms per capita","3","Thousands",,,12.543,,
"OECD","OECD - Total","GHG","Greenhouse gases","GHG_CAP_LULU","Total GHG incl. LULUCF per capita","1994","1994","KG_HAB","Kilograms per capita","3","Thousands",,,12.614,,
"OECD","OECD - Total","GHG","Greenhouse gases","GHG_CAP_LULU","Total GHG incl. LULUCF per capita","1995","1995","KG_HAB","Kilograms per capita","3","Thousands",,,12.679,,
"OECD","OECD - Total","GHG","Greenhouse gases","GHG_CAP_LULU","Total GHG incl. LULUCF per capita","1996","1996","KG_HAB","Kilograms per capita","3","Thousands",,,12.916,,
"OECD","OECD - Total","GHG","Greenhouse gases","GHG_CAP_LULU","Total GHG incl. LULUCF per capita","1997","1997","KG_HAB","Kilograms per capita","3","Thousands",,,12.882,,
"OECD","OECD - Total","GHG","Greenhouse gases","GHG_CAP_LULU","Total GHG incl. LULUCF per capita","1998","1998","KG_HAB","Kilograms per capita","3","Thousands",,,12.738,,
"OECD","OECD - Total","GHG","Greenhouse gases","GHG_CAP_LULU","Total GHG incl. LULUCF per capita","1999","1999","KG_HAB","Kilograms per capita","3","Thousands",,,12.663,,
"OECD","OECD - Total","GHG","Greenhouse gases","GHG_CAP_LULU","Total GHG incl. LULUCF per capita","2000","2000","KG_HAB","Kilograms per capita","3","Thousands",,,12.72,,
"OECD","OECD - Total","GHG","Greenhouse gases","GHG_CAP_LULU","Total GHG incl. LULUCF per capita","2001","2001","KG_HAB","Kilograms per capita","3","Thousands",,,12.468,,
"OECD","OECD - Total","GHG","Greenhouse gases","GHG_CAP_LULU","Total GHG incl. LULUCF per capita","2002","2002","KG_HAB","Kilograms per capita","3","Thousands",,,12.556,,
"OECD","OECD - Total","GHG","Greenhouse gases","GHG_CAP_LULU","Total GHG incl. LULUCF per capita","2003","2003","KG_HAB","Kilograms per capita","3","Thousands",,,12.604,,
"OECD","OECD - Total","GHG","Greenhouse gases","GHG_CAP_LULU","Total GHG incl. LULUCF per capita","2004","2004","KG_HAB","Kilograms per capita","3","Thousands",,,12.703,,
"OECD","OECD - Total","GHG","Greenhouse gases","GHG_CAP_LULU","Total GHG incl. LULUCF per capita","2005","2005","KG_HAB","Kilograms per capita","3","Thousands",,,12.617,,
"OECD","OECD - Total","GHG","Greenhouse gases","GHG_CAP_LULU","Total GHG incl. LULUCF per capita","2006","2006","KG_HAB","Kilograms per capita","3","Thousands",,,12.431,,
"OECD","OECD - Total","GHG","Greenhouse gases","GHG_CAP_LULU","Total GHG incl. LULUCF per capita","2007","2007","KG_HAB","Kilograms per capita","3","Thousands",,,12.603,,
"OECD","OECD - Total","GHG","Greenhouse gases","GHG_CAP_LULU","Total GHG incl. LULUCF per capita","2008","2008","KG_HAB","Kilograms per capita","3","Thousands",,,12.179,,
"OECD","OECD - Total","GHG","Greenhouse gases","GHG_CAP_LULU","Total GHG incl. LULUCF per capita","2009","2009","KG_HAB","Kilograms per capita","3","Thousands",,,11.39,,
"OECD","OECD - Total","GHG","Greenhouse gases","GHG_CAP_LULU","Total GHG incl. LULUCF per capita","2010","2010","KG_HAB","Kilograms per capita","3","Thousands",,,11.642,,
"OECD","OECD - Total","GHG","Greenhouse gases","GHG_CAP_LULU","Total GHG incl. LULUCF per capita","2011","2011","KG_HAB","Kilograms per capita","3","Thousands",,,11.415,,
"OECD","OECD - Total","GHG","Greenhouse gases","GHG_CAP_LULU","Total GHG incl. LULUCF per capita","2012","2012","KG_HAB","Kilograms per capita","3","Thousands",,,11.183,,
"OECD","OECD - Total","GHG","Greenhouse gases","GHG_CAP_LULU","Total GHG incl. LULUCF per capita","2013","2013","KG_HAB","Kilograms per capita","3","Thousands",,,11.218,,
"OECD","OECD - Total","GHG","Greenhouse gases","GHG_CAP_LULU","Total GHG incl. LULUCF per capita","2014","2014","KG_HAB","Kilograms per capita","3","Thousands",,,11.02,,
