"COU","Country","POL","Pollutant","VAR","Variable","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"TUR","Türkiye","CH4","Methane","INDEX_1990","Total GHG excl. LULUCF, Index 1990=100","2020","2020","IDX","Index","0","Units",,,150.382,,
"TUR","Türkiye","CH4","Methane","INDEX_1990","Total GHG excl. LULUCF, Index 1990=100","2021","2021","IDX","Index","0","Units",,,150.68,,
"EU28","European Union (28 countries)","GHG","Greenhouse gases","ENER_P","1 - Energy (%)","1990","1990","PC","Percentage","0","Units",,,76.946,,
"EU28","European Union (28 countries)","GHG","Greenhouse gases","ENER_P","1 - Energy (%)","1991","1991","PC","Percentage","0","Units",,,77.624,,
"EU28","European Union (28 countries)","GHG","Greenhouse gases","ENER_P","1 - Energy (%)","1992","1992","PC","Percentage","0","Units",,,77.66,,
"EU28","European Union (28 countries)","GHG","Greenhouse gases","ENER_P","1 - Energy (%)","1993","1993","PC","Percentage","0","Units",,,77.629,,
"EU28","European Union (28 countries)","GHG","Greenhouse gases","ENER_P","1 - Energy (%)","1994","1994","PC","Percentage","0","Units",,,77.062,,
"EU28","European Union (28 countries)","GHG","Greenhouse gases","ENER_P","1 - Energy (%)","1995","1995","PC","Percentage","0","Units",,,76.993,,
"EU28","European Union (28 countries)","GHG","Greenhouse gases","ENER_P","1 - Energy (%)","1996","1996","PC","Percentage","0","Units",,,77.426,,
"EU28","European Union (28 countries)","GHG","Greenhouse gases","ENER_P","1 - Energy (%)","1997","1997","PC","Percentage","0","Units",,,77.012,,
"EU28","European Union (28 countries)","GHG","Greenhouse gases","ENER_P","1 - Energy (%)","1998","1998","PC","Percentage","0","Units",,,77.401,,
"EU28","European Union (28 countries)","GHG","Greenhouse gases","ENER_P","1 - Energy (%)","1999","1999","PC","Percentage","0","Units",,,77.817,,
"EU28","European Union (28 countries)","GHG","Greenhouse gases","ENER_P","1 - Energy (%)","2000","2000","PC","Percentage","0","Units",,,77.719,,
"EU28","European Union (28 countries)","GHG","Greenhouse gases","ENER_P","1 - Energy (%)","2001","2001","PC","Percentage","0","Units",,,78.412,,
"EU28","European Union (28 countries)","GHG","Greenhouse gases","ENER_P","1 - Energy (%)","2002","2002","PC","Percentage","0","Units",,,78.561,,
"EU28","European Union (28 countries)","GHG","Greenhouse gases","ENER_P","1 - Energy (%)","2003","2003","PC","Percentage","0","Units",,,78.866,,
"EU28","European Union (28 countries)","GHG","Greenhouse gases","ENER_P","1 - Energy (%)","2004","2004","PC","Percentage","0","Units",,,78.717,,
"EU28","European Union (28 countries)","GHG","Greenhouse gases","ENER_P","1 - Energy (%)","2005","2005","PC","Percentage","0","Units",,,78.807,,
"EU28","European Union (28 countries)","GHG","Greenhouse gases","ENER_P","1 - Energy (%)","2006","2006","PC","Percentage","0","Units",,,78.933,,
"EU28","European Union (28 countries)","GHG","Greenhouse gases","ENER_P","1 - Energy (%)","2007","2007","PC","Percentage","0","Units",,,78.565,,
"EU28","European Union (28 countries)","GHG","Greenhouse gases","ENER_P","1 - Energy (%)","2008","2008","PC","Percentage","0","Units",,,78.854,,
"EU28","European Union (28 countries)","GHG","Greenhouse gases","ENER_P","1 - Energy (%)","2009","2009","PC","Percentage","0","Units",,,79.128,,
"EU28","European Union (28 countries)","GHG","Greenhouse gases","ENER_P","1 - Energy (%)","2010","2010","PC","Percentage","0","Units",,,79.425,,
"EU28","European Union (28 countries)","GHG","Greenhouse gases","ENER_P","1 - Energy (%)","2011","2011","PC","Percentage","0","Units",,,78.935,,
"EU28","European Union (28 countries)","GHG","Greenhouse gases","ENER_P","1 - Energy (%)","2012","2012","PC","Percentage","0","Units",,,79.042,,
"EU28","European Union (28 countries)","GHG","Greenhouse gases","ENER_P","1 - Energy (%)","2013","2013","PC","Percentage","0","Units",,,78.657,,
"EU28","European Union (28 countries)","GHG","Greenhouse gases","ENER_P","1 - Energy (%)","2014","2014","PC","Percentage","0","Units",,,77.588,,
"EU28","European Union (28 countries)","GHG","Greenhouse gases","ENER_P","1 - Energy (%)","2015","2015","PC","Percentage","0","Units",,,77.967,,
"EU28","European Union (28 countries)","GHG","Greenhouse gases","ENER_P","1 - Energy (%)","2016","2016","PC","Percentage","0","Units",,,77.926,,
"EU28","European Union (28 countries)","GHG","Greenhouse gases","ENER_P","1 - Energy (%)","2017","2017","PC","Percentage","0","Units",,,77.746,,
"EU28","European Union (28 countries)","GHG","Greenhouse gases","ENER_P","1 - Energy (%)","2018","2018","PC","Percentage","0","Units",,,77.615,,
