"COUNTRY","Country","SECTOR","Sector","CATEGORY","Category","VARIABLE","Variable","CURRENCY","Currency","YEAR","Year","Value","Flag Codes","Flags"
"BEL","Belgium","NONROADE","All energy use sectors (CO2) except road transport","ALL","Total excluding biofuels CO2","SUBSID","Fossil fuel subsidy, average in Currency Unit per tCO2e","EURREAL","EUR, real 2021 base  ","2021","2021",-0.53583205,,
"BEL","Belgium","NONROADE","All energy use sectors (CO2) except road transport","ALL","Total excluding biofuels CO2","ECRATE","Effective carbon rate, average in Currency Unit per tCO2e","EURREAL","EUR, real 2021 base  ","2021","2021",26.153021,,
"BEL","Belgium","NONROADE","All energy use sectors (CO2) except road transport","ALL","Total excluding biofuels CO2","NETECR","Net effective carbon rate, average in Currency Unit per tCO2e","EURREAL","EUR, real 2021 base  ","2021","2021",25.617188,,
"BEL","Belgium","OFFROAD","Off-road (Energy CO2)","ALL","Total excluding biofuels CO2","TAXBCO","Potential tax base, in kt of CO2e","EURREAL","EUR, real 2021 base  ","2021","2021",613.17078,,
"BEL","Belgium","OFFROAD","Off-road (Energy CO2)","ALL","Total excluding biofuels CO2","FUETAX","Fuel excise tax, average in Currency Unit per tCO2e","EURREAL","EUR, real 2021 base  ","2021","2021",1.2790742,,
"BEL","Belgium","OFFROAD","Off-road (Energy CO2)","ALL","Total excluding biofuels CO2","CARBTAX","Carbon tax, average in Currency Unit per tCO2e","EURREAL","EUR, real 2021 base  ","2021","2021",0,,
"BEL","Belgium","OFFROAD","Off-road (Energy CO2)","ALL","Total excluding biofuels CO2","MPERPRI","ETS permit price, average in Currency Unit per tCO2e","EURREAL","EUR, real 2021 base  ","2021","2021",0.79802066,,
"BEL","Belgium","OFFROAD","Off-road (Energy CO2)","ALL","Total excluding biofuels CO2","SUBSID","Fossil fuel subsidy, average in Currency Unit per tCO2e","EURREAL","EUR, real 2021 base  ","2021","2021",0,,
"BEL","Belgium","OFFROAD","Off-road (Energy CO2)","ALL","Total excluding biofuels CO2","ECRATE","Effective carbon rate, average in Currency Unit per tCO2e","EURREAL","EUR, real 2021 base  ","2021","2021",2.0770948,,
"BEL","Belgium","OFFROAD","Off-road (Energy CO2)","ALL","Total excluding biofuels CO2","NETECR","Net effective carbon rate, average in Currency Unit per tCO2e","EURREAL","EUR, real 2021 base  ","2021","2021",2.0770948,,
"BEL","Belgium","INDUSTRY","Industry (Energy CO2)","ALL","Total excluding biofuels CO2","TAXBCO","Potential tax base, in kt of CO2e","EURREAL","EUR, real 2021 base  ","2021","2021",33336.18,,
"BEL","Belgium","INDUSTRY","Industry (Energy CO2)","ALL","Total excluding biofuels CO2","FUETAX","Fuel excise tax, average in Currency Unit per tCO2e","EURREAL","EUR, real 2021 base  ","2021","2021",0.7117821,,
"BEL","Belgium","INDUSTRY","Industry (Energy CO2)","ALL","Total excluding biofuels CO2","CARBTAX","Carbon tax, average in Currency Unit per tCO2e","EURREAL","EUR, real 2021 base  ","2021","2021",0,,
"BEL","Belgium","INDUSTRY","Industry (Energy CO2)","ALL","Total excluding biofuels CO2","MPERPRI","ETS permit price, average in Currency Unit per tCO2e","EURREAL","EUR, real 2021 base  ","2021","2021",30.881235,,
"BEL","Belgium","INDUSTRY","Industry (Energy CO2)","ALL","Total excluding biofuels CO2","SUBSID","Fossil fuel subsidy, average in Currency Unit per tCO2e","EURREAL","EUR, real 2021 base  ","2021","2021",0,,
"BEL","Belgium","INDUSTRY","Industry (Energy CO2)","ALL","Total excluding biofuels CO2","ECRATE","Effective carbon rate, average in Currency Unit per tCO2e","EURREAL","EUR, real 2021 base  ","2021","2021",31.593018,,
"BEL","Belgium","INDUSTRY","Industry (Energy CO2)","ALL","Total excluding biofuels CO2","NETECR","Net effective carbon rate, average in Currency Unit per tCO2e","EURREAL","EUR, real 2021 base  ","2021","2021",31.593018,,
"BEL","Belgium","AGRIFISH","Agriculture & fisheries (Energy CO2)","ALL","Total excluding biofuels CO2","TAXBCO","Potential tax base, in kt of CO2e","EURREAL","EUR, real 2021 base  ","2021","2021",1647.3701,,
"BEL","Belgium","AGRIFISH","Agriculture & fisheries (Energy CO2)","ALL","Total excluding biofuels CO2","FUETAX","Fuel excise tax, average in Currency Unit per tCO2e","EURREAL","EUR, real 2021 base  ","2021","2021",3.2353072,,
"BEL","Belgium","AGRIFISH","Agriculture & fisheries (Energy CO2)","ALL","Total excluding biofuels CO2","CARBTAX","Carbon tax, average in Currency Unit per tCO2e","EURREAL","EUR, real 2021 base  ","2021","2021",0,,
"BEL","Belgium","AGRIFISH","Agriculture & fisheries (Energy CO2)","ALL","Total excluding biofuels CO2","MPERPRI","ETS permit price, average in Currency Unit per tCO2e","EURREAL","EUR, real 2021 base  ","2021","2021",0,,
"BEL","Belgium","AGRIFISH","Agriculture & fisheries (Energy CO2)","ALL","Total excluding biofuels CO2","SUBSID","Fossil fuel subsidy, average in Currency Unit per tCO2e","EURREAL","EUR, real 2021 base  ","2021","2021",0,,
"BEL","Belgium","AGRIFISH","Agriculture & fisheries (Energy CO2)","ALL","Total excluding biofuels CO2","ECRATE","Effective carbon rate, average in Currency Unit per tCO2e","EURREAL","EUR, real 2021 base  ","2021","2021",3.2353072,,
"BEL","Belgium","AGRIFISH","Agriculture & fisheries (Energy CO2)","ALL","Total excluding biofuels CO2","NETECR","Net effective carbon rate, average in Currency Unit per tCO2e","EURREAL","EUR, real 2021 base  ","2021","2021",3.2353072,,
"BEL","Belgium","RESCOM","Buildings (Energy CO2)","ALL","Total excluding biofuels CO2","TAXBCO","Potential tax base, in kt of CO2e","EURREAL","EUR, real 2021 base  ","2021","2021",22541.387,,
"BEL","Belgium","RESCOM","Buildings (Energy CO2)","ALL","Total excluding biofuels CO2","FUETAX","Fuel excise tax, average in Currency Unit per tCO2e","EURREAL","EUR, real 2021 base  ","2021","2021",7.5902877,,
"BEL","Belgium","RESCOM","Buildings (Energy CO2)","ALL","Total excluding biofuels CO2","CARBTAX","Carbon tax, average in Currency Unit per tCO2e","EURREAL","EUR, real 2021 base  ","2021","2021",0,,
"BEL","Belgium","RESCOM","Buildings (Energy CO2)","ALL","Total excluding biofuels CO2","MPERPRI","ETS permit price, average in Currency Unit per tCO2e","EURREAL","EUR, real 2021 base  ","2021","2021",0.058364056,,
"BEL","Belgium","RESCOM","Buildings (Energy CO2)","ALL","Total excluding biofuels CO2","SUBSID","Fossil fuel subsidy, average in Currency Unit per tCO2e","EURREAL","EUR, real 2021 base  ","2021","2021",-1.7017168,,
"BEL","Belgium","RESCOM","Buildings (Energy CO2)","ALL","Total excluding biofuels CO2","ECRATE","Effective carbon rate, average in Currency Unit per tCO2e","EURREAL","EUR, real 2021 base  ","2021","2021",7.6486516,,
"BEL","Belgium","RESCOM","Buildings (Energy CO2)","ALL","Total excluding biofuels CO2","NETECR","Net effective carbon rate, average in Currency Unit per tCO2e","EURREAL","EUR, real 2021 base  ","2021","2021",5.9469352,,
"BEL","Belgium","ELEC","Electricity (Energy CO2)","ALL","Total excluding biofuels CO2","TAXBCO","Potential tax base, in kt of CO2e","EURREAL","EUR, real 2021 base  ","2021","2021",13449.73,,
"BEL","Belgium","ELEC","Electricity (Energy CO2)","ALL","Total excluding biofuels CO2","FUETAX","Fuel excise tax, average in Currency Unit per tCO2e","EURREAL","EUR, real 2021 base  ","2021","2021",0.0038577588,,
